iter	Passed	Remaining
0	139	138867
1	142	70964
2	145	48244
3	148	36916
4	150	30033
5	154	25649
6	157	22365
7	160	19935
8	163	18027
9	166	16525
10	170	15311
11	173	14297
12	176	13432
13	180	12697
14	183	12065
15	187	11525
16	190	11038
17	194	10623
18	198	10232
19	202	9899
20	205	9579
21	209	9306
22	212	9046
23	216	8801
24	220	8581
25	223	8370
26	227	8191
27	230	8012
28	234	7860
29	238	7708
30	242	7594
31	247	7472
32	250	7346
33	254	7242
34	258	7127
35	262	7031
36	266	6936
37	269	6819
38	273	6739
39	277	6654
40	281	6573
41	285	6503
42	288	6426
43	292	6365
44	296	6296
45	300	6238
46	304	6181
47	308	6118
48	312	6067
49	316	6010
50	320	5967
51	324	5922
52	328	5870
53	333	5834
54	338	5813
55	342	5777
56	347	5753
57	352	5720
58	356	5678
59	360	5651
60	364	5612
61	368	5576
62	372	5541
63	376	5504
64	380	5478
65	383	5433
66	387	5402
67	391	5371
68	395	5339
69	399	5314
70	403	5282
71	408	5260
72	412	5234
73	416	5206
74	420	5183
75	423	5145
76	427	5121
77	431	5097
78	435	5076
79	439	5056
80	443	5032
81	448	5019
82	452	4997
83	456	4976
84	460	4961
85	464	4941
86	469	4924
87	473	4909
88	477	4887
89	481	4871
90	485	4852
91	489	4833
92	494	4818
93	497	4799
94	502	4784
95	506	4766
96	510	4749
97	514	4733
98	517	4714
99	522	4700
100	526	4686
101	530	4670
102	535	4659
103	539	4646
104	543	4633
105	547	4619
106	551	4603
107	555	4591
108	560	4577
109	562	4554
110	566	4539
111	571	4527
112	575	4517
113	579	4504
114	584	4495
115	588	4484
116	592	4470
117	596	4460
118	601	4449
119	605	4436
120	609	4426
121	613	4415
122	617	4401
123	621	4392
124	625	4379
125	629	4368
126	633	4356
127	637	4343
128	641	4332
129	645	4320
130	649	4310
131	653	4299
132	657	4287
133	661	4277
134	665	4265
135	670	4256
136	674	4246
137	678	4235
138	682	4226
139	686	4216
140	690	4206
141	694	4195
142	698	4185
143	702	4178
144	707	4169
145	711	4158
146	715	4150
147	719	4139
148	723	4133
149	727	4123
150	731	4113
151	735	4105
152	739	4095
153	743	4086
154	748	4078
155	752	4068
156	755	4057
157	759	4049
158	764	4041
159	767	4027
160	771	4018
161	775	4010
162	779	4001
163	783	3996
164	787	3987
165	791	3979
166	796	3970
167	800	3962
168	804	3955
169	808	3947
170	812	3937
171	816	3930
172	820	3922
173	824	3915
174	829	3908
175	832	3899
176	837	3894
177	841	3887
178	845	3878
179	849	3872
180	853	3864
181	858	3856
182	862	3848
183	865	3839
184	870	3832
185	873	3824
186	878	3817
187	882	3810
188	886	3802
189	890	3797
190	894	3788
191	898	3781
192	902	3774
193	906	3766
194	910	3760
195	914	3752
196	918	3745
197	922	3738
198	926	3730
199	930	3723
200	935	3716
201	938	3709
202	942	3702
203	946	3694
204	951	3688
205	954	3679
206	958	3672
207	962	3665
208	966	3658
209	970	3651
210	974	3644
211	978	3637
212	982	3630
213	986	3623
214	990	3615
215	994	3608
216	998	3603
217	1002	3595
218	1006	3588
219	1010	3582
220	1014	3575
221	1018	3570
222	1022	3563
223	1026	3556
224	1030	3549
225	1034	3543
226	1038	3536
227	1042	3531
228	1046	3524
229	1050	3517
230	1054	3511
231	1059	3505
232	1062	3498
233	1066	3492
234	1070	3486
235	1074	3479
236	1078	3473
237	1083	3467
238	1086	3460
239	1090	3454
240	1094	3447
241	1098	3441
